sentence,sentence_clean,gold_label,label_id
Haat chatney swaad xaa ...\n\nvery good ...,haat chatney swaad xaa n nvery good,positive,1
babal xa,babal xa,positive,1
Biscuit haru chai daraz bata nakinna nai bhanchu ma chai... sabai tukra/dhulo huncha,biscuit haru chai daraz bata nakinna nai bhanchu ma chai sabai tukra dhulo huncha,negative,0
😍 got it and love it ! ❤️ suruma  tah la stickers ra charm tah raina xa aauta daekhayaera aarko bachyo 😫 lagyathyo but bhitra raixa 😝 ani aarko kura 6 ota charm hunu parnaema 4 ota matra pathaunu vako raixa 😞 otherthen that its wow 🥰,got it and love it suruma tah la stickers ra charm tah raina xa aauta daekhayaera aarko bachyo lagyathyo but bhitra raixa ani aarko kura ota charm hunu parnaema ota matra pathaunu vako raixa otherthen that its wow,positive,1
"Feeling annoying, yo mathiko gantees loose xa khali mathi sareko saraii garnu parne kasto product pathako ho yo... toit... hat ko exercise hune raxa khali mathi tala mathi tala😤😤😤",feeling annoying yo mathiko gantees loose xa khali mathi sareko saraii garnu parne kasto product pathako ho yo toit hat ko exercise hune raxa khali mathi tala mathi tala,negative,0
Ekdum mittho yummy 😋🤤,ekdum mittho yummy,positive,1
gooood,gooood,positive,1
ekdamai khatra xa product\nphoto ma jasto xa testai xa❤️,ekdamai khatra xa product nphoto ma jasto xa testai xa,positive,1
dami,dami,positive,1
expectations vs reality,expectations vs reality,negative,0
colour  ali chado jany raixa,colour ali chado jany raixa,negative,0
dammi,dammi,positive,1
frequent electric shock lagira xa ke garne hola?,frequent electric shock lagira xa ke garne hola,negative,0
Dherai ramro  chha,dherai ramro chha,positive,1
HDMI kaam garena USB matra kaam garcha pot haru ne tight Cha,hdmi kaam garena usb matra kaam garcha pot haru ne tight cha,negative,0
dami xa aaile samma 1 months vayo use garako,dami xa aaile samma months vayo use garako,positive,1
"Gemei Order gareko Geemy aayo, yo fraud vayana Ra?",gemei order gareko geemy aayo yo fraud vayana ra,negative,0
dherai ramro product soche bhanda ramro chha.\ndhukka bhaera kinna saknuhunchha.,dherai ramro product soche bhanda ramro chha ndhukka bhaera kinna saknuhunchha,positive,1
"expectations vs reality \n,\ncolour nei udeko xa,\nfusro fusro xa , vhuwa lageko rang  udeko,\nwaste of money",expectations vs reality n ncolour nei udeko xa nfusro fusro xa vhuwa lageko rang udeko nwaste of money,negative,0
black vaneko kaa Green pathako twni tait,black vaneko kaa green pathako twni tait,negative,0
Budget Anusar Mic Chahi Best Xa Hai ......\nsound Quality Best Lagyo,budget anusar mic chahi best xa hai nsound quality best lagyo,positive,1
bag ramro lagyo 👌 pic ma dekhako jastai xa,bag ramro lagyo pic ma dekhako jastai xa,positive,1
Impressed,impressed,positive,1
dharai ramrow chha bro \nthank you very much,dharai ramrow chha bro nthank you very much,positive,1
ek dam damii xah jasto vniko thiya tesatai aako xah,ek dam damii xah jasto vniko thiya tesatai aako xah,positive,1
dupe vayeni ramro xa,dupe vayeni ramro xa,positive,1
ek dam damii xah jasto vniko thiya tesatai aako xah,ek dam damii xah jasto vniko thiya tesatai aako xah,positive,1
earphone baliyo xaina. futne ra chhtney bhaihaalxa,earphone baliyo xaina futne ra chhtney bhaihaalxa,negative,0
Derai Ramro,derai ramro,positive,1
derai tight xa phone halna garo xa but thikxa kam chalau sasto wala,derai tight xa phone halna garo xa but thikxa kam chalau sasto wala,negative,0
"An okay... pasal ma leko Vaya ramrai quality authyo... Purano thotro stock vidayara swastha sanga khelbad garne online Lai kada karbahi garnai parxa, hamile ya Yo Daraaz ko consumer group le. vayana yasto",an okay pasal ma leko vaya ramrai quality authyo purano thotro stock vidayara swastha sanga khelbad garne online lai kada karbahi garnai parxa hamile ya yo daraaz ko consumer group le vayana yasto,negative,0
Glasses price aanushar dherai ramro xa \n150 bhanda ni Kam xa price I just loved it 😘\nAni packaging k kura garnu parda ekdam ramro \nAni product pni ramro xa ❣️\n\nproblem kxa vaney ni chasma Dami xa 😊😁,glasses price aanushar dherai ramro xa n bhanda ni kam xa price i just loved it nani packaging k kura garnu parda ekdam ramro nani product pni ramro xa n nproblem kxa vaney ni chasma dami xa,positive,1
Aakdam ramro xa 🫣,aakdam ramro xa,positive,1
dami cha. ramro lagyo,dami cha ramro lagyo,positive,1
dami,dami,positive,1
ekdam ramro xa . worth it 👍👍👍,ekdam ramro xa worth it,positive,1
gum ramro zaina baki ta jsto hunu parne tyestai xa,gum ramro zaina baki ta jsto hunu parne tyestai xa,negative,0
Harek manchele padhnai parne book !,harek manchele padhnai parne book,positive,1
dami lago😍❤️\nvalue for money,dami lago nvalue for money,positive,1
delivery vaneko date ma nagarne msg reply ni xaina saman ko size arkai arkai n ek choti laudai vuwa aayo dherai,delivery vaneko date ma nagarne message reply ni xaina saman ko size arkai arkai n ek choti laudai vuwa aayo dherai,negative,0
delivery vaneko date ma nagarne msg reply ni xaina saman ko size arkai arkai n ek choti laudai vuwa aayo dherai,delivery vaneko date ma nagarne message reply ni xaina saman ko size arkai arkai n ek choti laudai vuwa aayo dherai,negative,0
herda ramro sunda chai bass dherai xa puls jack ali halliyo vane sunidaina ... but yettiko price maa 2 ota paunu ta thikai ho,herda ramro sunda chai bass dherai xa puls jack ali halliyo vane sunidaina but yettiko price maa ota paunu ta thikai ho,positive,1
dammi lagyo .,dammi lagyo,positive,1
Design rw build tw thikai ho twrw size chai lastai sano vo yrr vai lai diyey mailey tw hyaa!,design rw build tw thikai ho twrw size chai lastai sano vo yrr vai lai diyey mailey tw hyaa,negative,0
eak dam ramro xa hai,eak dam ramro xa hai,positive,1
3 hour suruma chalx ani 1 hrs chalx,hour suruma chalx ani hrs chalx,negative,0
Dami xa kta ho kinda hunxa😚🔥,dami xa kta ho kind of hunxa,positive,1
book ramro xa but mero ma pg 135 dekhi 512 samma gayev raixa and 512 dekhi last samma book nai double xa \nreturn mageko xu \n\nferi order garda ramro rw complete aahoss,book ramro xa but mero ma pg dekhi samma gayev raixa and dekhi last samma book nai double xa nreturn mageko xu n nferi order garda ramro rw complete aahoss,negative,0
gajab,gajab,positive,1
dami xa dami sathiko lagi magako afai use gariyo 🤣🤣😂,dami xa dami sathiko lagi magako afai use gariyo,positive,1
545 Rupee Liyer NA Ramamro Cover Pathaeko Chh\nMatra Chorne Kam Chh Yo,rupee liyer na ramamro cover pathaeko chh nmatra chorne kam chh yo,negative,0
feels premium.recommended,feels premium recommended,positive,1
Chitta bujhdo xa,chitta bujhdo xa,positive,1
Cover chahi different xa Ani pages chahi 528,cover chahi different xa ani pages chahi,negative,0
542 Rupee Liyer NA Ramamro Cover Pathaeko Chh\nMatra Chorne Kam Chh Yo,rupee liyer na ramamro cover pathaeko chh nmatra chorne kam chh yo,negative,0
Dami xa saman j hos socheko jatikoma,dami xa saman j hos socheko jatikoma,positive,1
damii nai lagoo,damii nai lagoo,positive,1
dherai nai sano raixa,dherai nai sano raixa,negative,0
Ekdam Dami product lagyo malai thanks daraz🤝,ekdam dami product lagyo malai thanks daraz,positive,1
dherai ramro xa,dherai ramro xa,positive,1
dami xa aaile samma 1 months vayo use garako,dami xa aaile samma months vayo use garako,positive,1
Charge nai tikirako xaina yrr 3/4 ghanta charge garda ni light ekxin mai nivihalxa,charge nai tikirako xaina yrr ghanta charge garda ni light ekxin mai nivihalxa,negative,0
"dammi dekhiyeko xa, quality Pani ramroo xa,brush soap haru thyakkai milaera rakhne Milne,,,sabailelinda hunxa",dammi dekhiyeko xa quality pani ramroo xa brush soap haru thyakkai milaera rakhne milne sabailelinda hunxa,positive,1
At least colourful pathaunu vako vaye hunthyo.. white pathaidinu vayexa.. bt thikai xa,at least colourful pathaunu vako vaye hunthyo white pathaidinu vayexa bt thikai xa,positive,1
dupe vayeni ramro xa,dupe vayeni ramro xa,positive,1
Awesome Product❤️\nahile Aayeko bela check gareko thikai chalyo Agari heram kasto rahixa\nalik dhila deliver vayo tara thikai x election ko karan le dhila vako hola\nthank you so much Seller ji\nand Daraj ji. 🤣🤣🤣🤣,awesome product nahile aayeko bela check gareko thikai chalyo agari heram kasto rahixa nalik dhila deliver vayo tara thikai x election ko karan le dhila vako hola nthank you so much seller ji nand daraj ji,positive,1
euta design ko bhoto xa aauda esto aayo😓,euta design ko bhoto xa aauda esto aayo,negative,0
ali kati purano jasto dekheyxa but perfectly work \nprice anusar chai thikai xa,ali kati purano jasto dekheyxa but perfectly work nprice anusar chai thikai xa,positive,1
"battery aafai halnuparney raixw , tei mathi used product raixw",battery aafai halnuparney raixw tei mathi used product raixw,negative,0
herda chhahi ramro lagyo Tara scooter ma chhahi fit nahola jasto xa ta,herda chhahi ramro lagyo tara scooter ma chhahi fit nahola jasto xa ta,neutral,2
400 ko Mal thik thikai raixa,ko mal thik thikai raixa,neutral,2
"Euta chalyo euta bigreko raixa,light pani ekdum kam 1/5 star",euta chalyo euta bigreko raixa light pani ekdum kam star,negative,0
"duplicate saman pathayo, so disappointed kaam xaina chor haru...",duplicate saman pathayo so disappointed kaam xaina chor haru,negative,0
Dami🥰🥰,dami,positive,1
dagg lako fohor kina pathako ?Ali ramro pathauna garo hunxa ho? ki ramro safa linu ko lagi badi paisa Dina Parni ho chya k pathako?,dagg lako fohor kina pathako ali ramro pathauna garo hunxa ho ki ramro safa linu ko lagi badi paisa dina parni ho chya k pathako,negative,0
ekdum ramro xa... color ta Malai lastai maan pryo😍😍thank you,ekdum ramro xa color ta malai lastai maan pryo thank you,positive,1
ekdam ramro chha,ekdam ramro chha,positive,1
Ali Kati scratch xa,ali kati scratch xa,negative,0
dharai ramrow chha bro \nthank you very much,dharai ramrow chha bro nthank you very much,positive,1
3 hour suruma chalx ani 1 hrs chalx,hour suruma chalx ani hrs chalx,negative,0
akdam comfortable xa 🥰 ramro layo socheko vanda,akdam comfortable xa ramro layo socheko vanda,positive,1
dammi,dammi,positive,1
dami xa aaile samma 1 months vayo use garako,dami xa aaile samma months vayo use garako,positive,1
Build quality ramro xw🌙\nDelivery chai ali dhila gardinu vayo🫡\nTwrw saman ramro xw worth it💰,build quality ramro xw ndelivery chai ali dhila gardinu vayo ntwrw saman ramro xw worth it,positive,1
ghar jastai taste xa manparyo 👍,ghar jastai taste xa manparyo,positive,1
Foto chha Megaslim..Saman aayo Meghaslim...Lets see quality kasto chha,foto chha megaslim saman aayo meghaslim let us see quality kasto chha,positive,1
